Parcelle,n_cep,symptomes,date,picture_name,position_cm,position_organ,position_organ_2,symptom,organ+symptomes,total_perimeter_cm,dysfunctional_perimeter_cm_1,dysfunctional_perimeter_cm_2,dysfunctional_perimeter_cm_3,dysfunctional_perimeter_cm_4,necrotic_perimeter_1,necrotic_perimeter_2,necrotic_perimeter_3,necrotic_perimeter_4,necrotic_perimeter_5,Total_dysfunctional_perimeter,Total_necrotic_perimeter,Share_dysfunctional_perimeter,Share_necrotic_perimeter,Principal,Second,Third,Fourth,comment
III-5,69-80,AS,29/7/21,D00,0,arm,D_arm,AS,arm_AS,"7,61",0,0,0,0,,,,,,"0,00",0,0,0,0,0,0,0,La position ne figure pas
III-5,69-80,AS,29/7/21,D01,1,arm,D_arm,AS,arm_AS,"10,58",,,,,"2,423",,,,,"0,00","2,423",0,"229,017,013",0,0,0,0,
III-5,69-80,AS,29/7/21,D02,3,arm,D_arm,AS,arm_AS,"10,774",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D03,"4,5",arm,D_arm,AS,arm_AS,"8,001",412,203,,,,,,,,"0,62",0,"76,865,392",0,"51,493,563","26,675,427",0,0,
III-5,69-80,AS,29/7/21,D04,"6,5",arm,D_arm,AS,arm_AS,"7,359",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D05,"8,5",arm,D_arm,AS,arm_AS,"6,548",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D06,"10,5",arm,D_arm,AS,arm_AS,"7,287",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D07,13,transition,transition,transition,transition,"8,879",,,,,589,,,,,"0,00",589,0,"66,336,299",0,0,0,0,
III-5,69-80,AS,29/7/21,D08,14,transition,transition,transition,transition,"9,952",,,,,"0,33",,,,,"0,00","0,33",0,"33,159,164",0,0,0,0,
III-5,69-80,AS,29/7/21,D09,"16,5",trunk,trunk,AS,trunk_AS,"13,507",,,,,"0,6",,,,,"0,00","0,6",0,"44,421,411",0,0,0,0,
III-5,69-80,AS,29/7/21,D10,"18,5",trunk,trunk,AS,trunk_AS,"11,468",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D11,"20,5",trunk,trunk,AS,trunk_AS,"9,64",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D12,"22,5",trunk,trunk,AS,trunk_AS,"10,088",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D13,"24,5",trunk,trunk,AS,trunk_AS,"10,905",,,,,"0,25",,,,,"0,00","0,25",0,"22,925,264",0,0,0,0,
III-5,69-80,AS,29/7/21,D14,26,trunk,trunk,AS,trunk_AS,"9,41",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D15,"28,5",trunk,trunk,AS,trunk_AS,"10,304",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D16,30,trunk,trunk,AS,trunk_AS,"12,611",,,,,561,"1,365",,,,"0,00","1,926",0,"152,723,813",0,0,0,0,
III-5,69-80,AS,29/7/21,D17,32,trunk,trunk,AS,trunk_AS,"9,754",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D18,"33,5",trunk,trunk,AS,trunk_AS,"10,15",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D19,"35,5",trunk,trunk,AS,trunk_AS,"10,042",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D20,37,trunk,trunk,AS,trunk_AS,"9,587",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D21,"38,5",trunk,trunk,AS,trunk_AS,"10,149",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D22,40,trunk,trunk,AS,trunk_AS,"11,964",,,,,"1,43",563,,,,"0,00","1,993",0,"166,583,083",0,0,0,0,
III-5,69-80,AS,29/7/21,D23,"41,5",trunk,trunk,AS,trunk_AS,"21,63",255,,,,,,,,,"0,26",0,"11,789,182",0,"11,789,182",0,0,0,
III-5,69-80,AS,29/7/21,D24,42,trunk,trunk,AS,trunk_AS,"13,3",261,,,,652,,,,,"0,26",652,"20,635,674","49,022,556","20,635,674",0,0,0,
III-5,69-80,AS,29/7/21,D25,"43,5",trunk,trunk,AS,trunk_AS,"19,55",217,188,,,"2,967","0,29","0,3",,,"0,41","3,557","25,323,579","181,943,734","13,568,436","24,704,336",0,0,
III-5,69-80,AS,29/7/21,D26,"45,5",GU,GU,AS,trunk_AS,"17,754",401,105,188,170,"2,292",,,,,"0,86","2,292","55,878,929","129,097,668","25,934,549","13,797,635","24,704,336","22,339,028",
III-5,69-80,AS,29/7/21,D27,48,GU,GU,AS,trunk_AS,"16,263",,,,,,,,,,"0,00",0,0,0,0,0,0,0,zone rose achuré
III-5,69-80,AS,29/7/21,D28,"50,5",rootstock,rootstock,AS,trunk_AS,"11,299",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D29,52,rootstock,rootstock,AS,trunk_AS,"9,95",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D30,54,rootstock,rootstock,AS,trunk_AS,"9,116",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D31,"55,5",rootstock,rootstock,AS,trunk_AS,"9,666",88,,,,"1,163",,,,,"0,09","1,163","10,349,288","120,318,643","10,349,288",0,0,0,
III-5,69-80,AS,29/7/21,D32,56,rootstock,rootstock,AS,trunk_AS,"8,973",,,,,153,,,,,"0,00",153,0,"17,051,153",0,0,0,0,
III-5,69-80,AS,29/7/21,D33,"59,5",rootstock,rootstock,AS,trunk_AS,"9,589",,,,,,,,,,"0,00",0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,U01,1,arm,U_arm,AS,trunk_AS,"10,129",596,,,,893,,,,,"0,60",893,"645,301","88,162,701","645,301",0,0,0,
III-5,69-80,AS,29/7/21,U02,2,arm,U_arm,AS,trunk_AS,"12,345",,,,,"1,527",217,,,,"0,00","1,744",0,"14,127,177",0,0,0,0,
III-5,69-80,AS,29/7/21,U03,"3,5",arm,U_arm,AS,trunk_AS,"9,499",426,148,,,,,,,,"0,57",0,"60,427,413",0,"44,846,826","19,448,095",0,0,DEUX COUPES N'ONT PAS ÉTÉ ANALYSEES CAR LA POSITION EN CM NE FIGURAIT PAS
III-5,69-81,ES2/4,29/7/21,D00,0,arm,D_arm,S,arm_S,"9,455","1,066",,,,,,,,,"1,07",0,"11,274,458",0,"11,274,458",0,0,0,
III-5,69-81,ES2/4,29/7/21,D01,1,arm,D_arm,S,arm_S,"11,208",993,663,274,,,,,,,"1,93",0,"17,219,843",0,"8,859,743","87,122,208","36,005,256",0,
III-5,69-81,ES2/4,29/7/21,D02,4,arm,D_arm,S,arm_S,"10,004","2,341",,,,522,277,,,,"2,34",799,"254,318,305","79,868,053","254,318,305",0,0,0,liseré rose le long de la zone disfonctionnel (bois de l'année)
