Parcelle,n_cep,symptomes,date,picture_name,cep_name,position_cm,distance_for_GU,position_organ,position_organ_2,symptom,organ+symptomes,total_perimeter_cm,dysfunctional_perimeter_cm_1,dysfunctional_perimeter_cm_2,dysfunctional_perimeter_cm_3,dysfunctional_perimeter_cm_4,necrotic_perimeter_1,necrotic_perimeter_2,necrotic_perimeter_3,necrotic_perimeter_4,necrotic_perimeter_5,Total_dysfunctional_perimeter,Total_necrotic_perimeter,Share_dysfunctional_perimeter,Share_necrotic_perimeter,Principal,Second,Third,Fourth,comment
III-5,69-80,AS,29/7/21,D00,69-80D,0,45.5,arm,D_arm,AS,arm_AS,7.61,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,La position ne figure pas
III-5,69-80,AS,29/7/21,D01,69-80D,1,44.5,arm,D_arm,AS,arm_AS,10.58,,,,,"2,423",,,,,0,"2,423",0,"229,017,013",0,0,0,0,
III-5,69-80,AS,29/7/21,D02,69-80D,3,42.5,arm,D_arm,AS,arm_AS,"10,774",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D03,69-80D,4.5,41,arm,D_arm,AS,arm_AS,"8,001",0.412,0.203,,,,,,,,0.615,0,"76,865,392",0,"51,493,563","26,675,427",0,0,
III-5,69-80,AS,29/7/21,D04,69-80D,6.5,39,arm,D_arm,AS,arm_AS,"7,359",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D05,69-80D,8.5,37,arm,D_arm,AS,arm_AS,"6,548",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D06,69-80D,10.5,35,arm,D_arm,AS,arm_AS,"7,287",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D07,69-80D,13,32.5,transition,transition,transition,transition,"8,879",,,,,589,,,,,0,589,0,"66,336,299",0,0,0,0,
III-5,69-80,AS,29/7/21,D08,69-80D,14,31.5,transition,transition,transition,transition,"9,952",,,,,0.33,,,,,0,0.33,0,"33,159,164",0,0,0,0,
III-5,69-80,AS,29/7/21,D09,69-80D,16.5,29,trunk,trunk,AS,trunk_AS,"13,507",,,,,0.6,,,,,0,0.6,0,"44,421,411",0,0,0,0,
III-5,69-80,AS,29/7/21,D10,69-80D,18.5,27,trunk,trunk,AS,trunk_AS,"11,468",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D11,69-80D,20.5,25,trunk,trunk,AS,trunk_AS,9.64,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D12,69-80D,22.5,23,trunk,trunk,AS,trunk_AS,"10,088",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D13,69-80D,24.5,21,trunk,trunk,AS,trunk_AS,"10,905",,,,,0.25,,,,,0,0.25,0,"22,925,264",0,0,0,0,
III-5,69-80,AS,29/7/21,D14,69-80D,26,19.5,trunk,trunk,AS,trunk_AS,9.41,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D15,69-80D,28.5,17,trunk,trunk,AS,trunk_AS,"10,304",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D16,69-80D,30,15.5,trunk,trunk,AS,trunk_AS,"12,611",,,,,561,"1,365",,,,0,"1,926",0,"152,723,813",0,0,0,0,
III-5,69-80,AS,29/7/21,D17,69-80D,32,13.5,trunk,trunk,AS,trunk_AS,"9,754",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D18,69-80D,33.5,12,trunk,trunk,AS,trunk_AS,10.15,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D19,69-80D,35.5,10,trunk,trunk,AS,trunk_AS,"10,042",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D20,69-80D,37,8.5,trunk,trunk,AS,trunk_AS,"9,587",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D21,69-80D,38.5,7,trunk,trunk,AS,trunk_AS,"10,149",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D22,69-80D,40,5.5,trunk,trunk,AS,trunk_AS,"11,964",,,,,1.43,563,,,,0,"1,993",0,"166,583,083",0,0,0,0,
III-5,69-80,AS,29/7/21,D23,69-80D,41.5,4,trunk,trunk,AS,trunk_AS,21.63,0.255,,,,,,,,,0.255,0,"11,789,182",0,"11,789,182",0,0,0,
III-5,69-80,AS,29/7/21,D24,69-80D,42,3.5,trunk,trunk,AS,trunk_AS,13.3,0.261,,,,652,,,,,0.261,652,"20,635,674","49,022,556","20,635,674",0,0,0,
III-5,69-80,AS,29/7/21,D25,69-80D,43.5,2,trunk,trunk,AS,trunk_AS,19.55,0.217,0.188,,,"2,967",0.29,0.3,,,0.405,"3,557","25,323,579","181,943,734","13,568,436","24,704,336",0,0,
III-5,69-80,AS,29/7/21,D26,69-80D,45.5,0,GU,GU,AS,trunk_AS,"17,754",0.401,0.105,0.188,0.17,"2,292",,,,,0.864,"2,292","55,878,929","129,097,668","25,934,549","13,797,635","24,704,336","22,339,028",
III-5,69-80,AS,29/7/21,D27,69-80D,48,-2.5,GU,GU,AS,trunk_AS,"16,263",,,,,,,,,,0,0,0,0,0,0,0,0,zone rose achuré
III-5,69-80,AS,29/7/21,D28,69-80D,50.5,-5,rootstock,rootstock,AS,trunk_AS,"11,299",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D29,69-80D,52,-6.5,rootstock,rootstock,AS,trunk_AS,9.95,,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D30,69-80D,54,-8.5,rootstock,rootstock,AS,trunk_AS,"9,116",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,D31,69-80D,55.5,-10,rootstock,rootstock,AS,trunk_AS,"9,666",0.88,,,,"1,163",,,,,0.88,"1,163","10,349,288","120,318,643","10,349,288",0,0,0,
III-5,69-80,AS,29/7/21,D32,69-80D,56,-10.5,rootstock,rootstock,AS,trunk_AS,"8,973",,,,,153,,,,,0,153,0,"17,051,153",0,0,0,0,
III-5,69-80,AS,29/7/21,D33,69-80D,59.5,-14,rootstock,rootstock,AS,trunk_AS,"9,589",,,,,,,,,,0,0,0,0,0,0,0,0,
III-5,69-80,AS,29/7/21,U01,69-80U,1,36.5,arm,U_arm,AS,trunk_AS,"10,129",0.596,,,,893,,,,,0.596,893,"645,301","88,162,701","645,301",0,0,0,
III-5,69-80,AS,29/7/21,U02,69-80U,2,35.5,arm,U_arm,AS,trunk_AS,"12,345",,,,,"1,527",217,,,,0,"1,744",0,"14,127,177",0,0,0,0,
III-5,69-80,AS,29/7/21,U03,69-80U,3.5,34,arm,U_arm,AS,trunk_AS,"9,499",0.426,0.148,,,,,,,,0.574,0,"60,427,413",0,"44,846,826","19,448,095",0,0,DEUX COUPES N'ONT PAS ÉTÉ ANALYSEES CAR LA POSITION EN CM NE FIGURAIT PAS
III-5,69-80,AS,29/7/21,D07,69-80U,5,32.5,transition,transition,transition,transition,"8,879",,,,,589,,,,,0,589,0,"66,336,299",0,0,0,0,
III-5,69-80,AS,29/7/21,D08,69-80U,6,31.5,transition,transition,transition,transition,"9,952",,,,,0.33,,,,,0,0.33,0,"33,159,164",0,0,0,0,
